+----+-----+-----------+-------+
|year|month|crime_total|ranking|
+----+-----+-----------+-------+
|2010|    1|      19520|      1|
|2010|    3|      18131|      2|
|2010|    7|      17857|      3|
|2011|    1|      18141|      1|
|2011|    7|      17283|      2|
|2011|   10|      17034|      3|
|2012|    1|      17954|      1|
|2012|    8|      17661|      2|
|2012|    5|      17502|      3|
|2013|    8|      17441|      1|
|2013|    1|      16828|      2|
|2013|    7|      16645|      3|
|2014|   10|      17331|      1|
|2014|    7|      17258|      2|
|2014|   12|      17198|      3|
|2015|   10|      19221|      1|
|2015|    8|      19011|      2|
|2015|    7|      18709|      3|
|2016|   10|      19660|      1|
|2016|    8|      19496|      2|
|2016|    7|      19450|      3|
|2017|   10|      20437|      1|
|2017|    7|      20199|      2|
|2017|    1|      19849|      3|
|2018|    5|      19976|      1|
|2018|    7|      19879|      2|
|2018|    8|      19765|      3|
|2019|    7|      19126|      1|
|2019|    8|      18987|      2|
|2019|    3|      18865|      3|
|2020|    1|      18542|      1|
|2020|    2|      17272|      2|
|2020|    5|      17219|      3|
|2021|   10|      19326|      1|
|2021|    7|      18672|      2|
|2021|    8|      18387|      3|
|2022|    5|      20450|      1|
|2022|   10|      20313|      2|
|2022|    6|      20255|      3|
|2023|   10|      20029|      1|
|2023|    8|      20024|      2|
|2023|    1|      19902|      3|
|2024|    1|      18762|      1|
|2024|    2|      17214|      2|
|2024|    3|      16009|      3|
+----+-----+-----------+-------+

# Execution Times:

# Data Frame-csv: 28 sec

# SQL-scv: 28 sec

# Data Frame-parquet:

# SQL-parquet:
